Python,77
SQL,50
REST,32
API,47
GIT,35
Django,35
docker,37
Postgresql,32
JS,16
JavaScript,11
AWS,24
Flask,23
HTML,15
redis,19
linux,24
 AI ,3
MySQL,11
OOP,11
react,7
CSS,11
MongoDB,9
FastAPI,13
DRF,7
Machine Learning,7
angular,5
NoSQL,12
pytest,6
networking,6
SQLAlchemy,5
microservice,4
pandas,4
algorithms,5
aiohttp,8
Azure,6
Graphql,2
asyncio,3
beautifulsoup,3
unix,5
Tornado,2
opencv,2
numpy,3
multiprocessing,2
SQLite,2
requests,2
scraping,1
regex,1
